Reputation ranking,University,2010 Top 100 ranking,Country
1,Harvard University,1,US
2,Massachusetts Institute of Technology,3,US
3,University of Cambridge,7,UK
4,"University of California, Berkeley",8,US
5,Stanford University,4,US
6,University of Oxford,7,UK
7,Princeton University,5,US
8,University of Tokyo,27,Japan
9,Yale University,10,US
10,California Institute of Technology,2,US
11,Imperial College London,9,UK
12,"University of California, Los Angeles",11,US
13,University of Michigan,15,US
14,Johns Hopkins University,13,US
15,University of Chicago,12,US
16,Cornell University,14,US
17,University of Toronto,17,Canada
18,Kyoto University,57,Japan
19,University College London,22,UK
19,University of Massachusetts,57,US
21,University of Illinois at Urbana-Champaign,33,US
22,University of Pennsylvania,19,US
23,Columbia University,18,US
24,"Swiss Federal Institute of Technology, Zurich",15,Switzerland
25,University of Wisconsin,43,US
26,University of Washington,23,US
27,National University of Singapore,34,Singapore
28,Carnegie Mellon University,20,US
29,McGill University,35,Canada
30,"University of California, San Diego",32,US
31,University of British Columbia,30,Canada
31,University of Texas at Austin,,US
33,Lomonosov Moscow State University,,Russian Federation
34,"University of California, San Francisco",,US
35,Tsinghua University,58,China
36,Duke University,24,US
37,London School of Economics and Political Science,87,UK
38,"University of California, Davis",54,US
39,Georgia Institute of Technology,27,US
40,Northwestern University,25,US
41,"University of North Carolina, Chapel Hill",30,US
42,University of Hong Kong,21,Hong Kong Special Administrative Region of China
43,Peking University,37,China
43,University of Minnesota,52,US
45,University of Edinburgh,40,UK
45,University of Melbourne,37,Australia
47,Purdue University,,US
48,University of Munich,61,Germany
49,Delft University of Technology,,Netherlands
50,Osaka University,,Japan
51-60,Australian National University,43,Australia
51-60,Karolinska Institute,43,Sweden
51-60,New York University,60,US
51-60,Ohio State University,67,US
51-60,Seoul National University,,Republic of Korea (South Korea)
51-60,Tohoku University,,Japan
51-60,Tokyo Institute of Technology,,Japan
51-60,"University of California, Santa Barbara",29,US
51-60,University of Pittsburgh,64,US
51-60,University of Sydney,71,Australia
61-70,Boston University,59,US
61-70,École Polytechnique,39,France
61-70,King's College London,,UK
61-70,Pennsylvania State University,19,US
61-70,Technical University of Munich,61,Germany
61-70,University of Florida,,US
61-70,University of Manchester,87,UK
61-70,University of Maryland College Park,98,US
61-70,University of Zurich,90,Switzerland
61-70,Uppsala University,,Sweden
71-80,École Polytechnique Federale of Lausanne,48,Switzerland
71-80,Humboldt University of Berlin,,Germany
71-80,Lund University,89,Sweden
71-80,Michigan State University,15,US
71-80,"Rutgers, the State University of New Jersey",,US
71-80,University of Arizona,95,US
71-80,University of Colorado,67,US
71-80,University of Southern California,73,US
71-80,Utrecht University,,Netherlands
71-80,Washington University Saint Louis,,US
81-90,Catholic University of Leuven,,Belgium
81-90,Indiana University,,US
81-90,Leiden University,,Netherlands
81-90,National Taiwan University,,Taiwan
81-90,Ruprecht Karl University of Heidelberg,83,Germany
81-90,Texas A&M University,,US
81-90,University of Amsterdam,,Netherlands
81-90,University of Bristol,68,UK
81-90,University of Leeds,,UK
81-90,"University of Queensland, Australia",81,Australia
91-100,Hong Kong University of Science and Technology,41,Hong Kong Special Administrative Region of China
91-100,Indian Institute of Science,,India
91-100,Korea Advanced Institute of Science and Technology,79,Republic of Korea (South Korea)
91-100,London School of Hygiene & Tropical Medicine,,UK
91-100,Nanyang Technological University,,Singapore
91-100,University of Helsinki,,Finland
91-100,"University of Paris, Pantheon-Sorbonne",,France
91-100,University of Sheffield,,UK
91-100,University of Vienna,,Austria
91-100,University of Waterloo,,Canada